order_id,customer_id,product_id,store_id,sales_date,quantity,unit_price,total_amount,discount_amount,tax_amount
1001,C001,P001,S001,2023-01-15,2,$29.99,$59.98,$5.00,$4.80
1002,C002,P002,S002,2023-01-15,1,$199.99,$199.99,$0.00,$16.00
1003,C001,P003,S001,2023-01-16,3,$15.50,$46.50,$2.25,$3.72
1004,C003,P001,S003,2023-01-16,1,$29.99,$29.99,$0.00,$2.40
1005,C004,P004,S002,2023-01-17,5,$8.99,$44.95,$4.50,$3.24
1006,C002,P005,S001,2023-01-17,2,$89.99,$179.98,$18.00,$12.96
1007,C005,P002,S003,2023-01-18,1,$199.99,$199.99,$20.00,$14.40
1008,C003,P003,S002,2023-01-18,4,$15.50,$62.00,$3.10,$4.65
1009,C006,P006,S001,2023-01-19,1,$299.99,$299.99,$0.00,$24.00
1010,C001,P004,S003,2023-01-19,2,$8.99,$17.98,$0.00,$1.44
1011,C007,P007,S002,2023-01-20,1,$449.99,$449.99,$45.00,$32.40
1012,C004,P001,S001,2023-01-20,3,$29.99,$89.97,$9.00,$6.48
1013,C008,P008,S003,2023-01-21,2,$125.00,$250.00,$12.50,$19.00
1014,C002,P009,S002,2023-01-21,1,$75.99,$75.99,$7.60,$5.44
1015,C009,P010,S001,2023-01-22,4,$22.50,$90.00,$4.50,$6.84
1016,C005,P003,S003,2023-01-22,6,$15.50,$93.00,$9.30,$6.64
1017,C010,P005,S002,2023-01-23,1,$89.99,$89.99,$0.00,$7.20
1018,C003,P011,S001,2023-01-23,2,$350.00,$700.00,$70.00,$50.40
1019,C006,P004,S003,2023-01-24,8,$8.99,$71.92,$7.19,$5.18
1020,C011,P012,S002,2023-01-24,1,$599.99,$599.99,$60.00,$43.20
